% -----------------------------------------------------------------
% Sonnenuntergang, Sonnenaufgang und Sonnenscheindauer
% an der Schoepfstrasse nach Schaetzle
%
% Extrahiert aus dem File schaetzle.html am ertel
% unter /usr/local/httpd/htdocs/new/tools/
% der von Andi Schaffhauser von Ausdrucken im WB-Zimmer
% abgeschrieben wurde (fuer Berechnung der naechtlichen Auskuehlung).
%
% SSD daraus berechnet mit file ssd_ibk.m am ertel in
% /home/meteodat.
%
% Spalte Name Bedeutung
%    1    MM   Monat
%    2    DD   Tag
%    3    SU   Zeit des Sonnenunterganges (hhmm) MEZ
%    4    SA   Zeit des Sonnenaufganges am Folgetag (hhmm) MEZ
%    5    SSD  Sonnenscheindauer in Minuten
%
% Johannes Vergeiner, 05/2005
% -----------------------------------------------------------------
% MM   DD    SU     SA     SSD
   8   20   1821    529    775
   8   21   1820    531    771
   8   22   1820    532    769
   8   23   1820    535    768
   8   24   1820    537    765
   8   25   1820    538    763
   8   26   1820    540    762
   8   27   1820    542    760
   8   28   1820    543    758
   8   29   1820    543    757
   8   30   1819    544    756
   8   31   1819    544    755

   9    1   1819    545    755
   9    2   1818    546    753
   9    3   1818    548    752
   9    4   1817    551    749
   9    5   1817    553    746
   9    6   1817    557    744
   9    7   1817    600    740
   9    8   1817    603    737
   9    9   1817    606    734
   9   10   1815    608    729
   9   11   1810    611    722
   9   12   1804    613    713
   9   13   1800    614    707
   9   14   1757    617    703
   9   15   1753    619    696
   9   16   1749    622    690
   9   17   1747    625    685
   9   18   1746    628    681
   9   19   1744    631    676
   9   20   1742    633    671
   9   21   1739    637    666
   9   22   1737    640    660
   9   23   1736    643    656
   9   24   1734    645    651
   9   25   1732    647    647
   9   26   1730    648    643
   9   27   1728    650    640
   9   28   1725    654    635
   9   29   1721    656    627
   9   30   1720    658    624

  10    1   1719    659    621
  10    2   1717    701    618
  10    3   1712    703    611
  10    4   1711    705    608
  10    5   1710    707    605
  10    6   1710    710    603
  10    7   1708    714    598
  10    8   1708    719    594
  10    9   1707    721    588
  10   10   1707    724    586
  10   11   1706    727    582
  10   12   1705    729    578
  10   13   1704    731    575
  10   14   1704    734    573
  10   15   1701    737    567
  10   16   1659    739    562
  10   17   1658    743    559
  10   18   1657    746    554
  10   19   1654    750    548
  10   20   1649    755    539
  10   21   1649    759    534
  10   22   1647    801    528
  10   23   1645    802    524
  10   24   1644    802    522
  10   25   1644    804    522
  10   26   1642    806    518
  10   27   1638    808    512
  10   28   1636    811    508
  10   29   1634    812    503
  10   30   1631    813    499
  10   31   1628    814    495

  11    1   1626    815    492
  11    2   1622    817    487
  11    3   1619    820    482
  11    4   1616    822    476
  11    5   1615    826    473
  11    6   1614    828    468
  11    7   1612    829    464
  11    8   1612    831    463
  11    9   1607    833    456
  11   10   1607    838    454
  11   11   1605    841    447
  11   12   1603    845    442
  11   13   1600    855    435
  11   14   1556    858    421
  11   15   1550    900    412
  11   16   1547    903    407
  11   17   1543    904    400
  11   18   1541    906    397
  11   19   1539    907    393
  11   20   1538    908    391
  11   21   1536    909    388
  11   22   1535    910    386
  11   23   1533    911    383
  11   24   1531    913    380
  11   25   1530    914    377
  11   26   1529    914    375
  11   27   1529    915    375
  11   28   1528    915    373
  11   29   1527    915    372
  11   30   1526    916    371

  12    1   1525    916    369
  12    2   1523    916    367
  12    3   1521    917    365
  12    4   1521    918    364
  12    5   1517    918    359
  12    6   1517    918    359
  12    7   1517    919    359
  12    8   1514    919    355
  12    9   1513    920    354
  12   10   1512    920    352
  12   11   1512    920    352
  12   12   1510    920    350
  12   13   1509    920    349
  12   14   1509    920    349
  12   15   1508    920    348
